Ano,Mês,País Importado,Produto,UF Importadora,Via,FOB (US$)
2020,2,Malta,Borracha e suas obras,Santa Catarina,MARITIMA,"170.311,00"
2020,11,Argentina,Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever,Paraná,RODOVIARIA,"170.250,00"
2020,12,Lituânia,Produtos químicos orgânicos,Paraná,MARITIMA,"170.230,00"
2020,4,Índia,Vidro e suas obras,Santa Catarina,MARITIMA,"170.186,00"
2020,12,Reino Unido,Produtos químicos orgânicos,Santa Catarina,MARITIMA,"170.172,00"
2020,10,Chile,Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas,Santa Catarina,RODOVIARIA,"169.971,00"
2020,6,China,Preparações alimentícias diversas,Paraná,MARITIMA,"169.958,00"
2020,4,Uzbequistão,Algodão,Santa Catarina,MARITIMA,"169.881,00"
2020,12,Estados Unidos,Resíduos e desperdícios das indústrias alimentares; alimentos preparados para animais,Paraná,AEREA,"169.875,00"
2020,5,Costa do Marfim,Borracha e suas obras,Santa Catarina,MARITIMA,"169.761,00"
2020,5,Alemanha,Produtos farmacêuticos,Paraná,AEREA,"169.728,00"
2020,1,França,Adubos (fertilizantes),Paraná,MARITIMA,"169.703,00"
2020,11,Marrocos,Cobre e suas obras,Santa Catarina,MARITIMA,"169.655,00"
2020,6,China,Cobre e suas obras,Rio Grande do Sul,MARITIMA,"169.620,00"
2020,9,Alemanha,Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever,Santa Catarina,MARITIMA,"169.592,00"
2020,6,Taiwan (Formosa),Produtos para fotografia e cinematografia,Santa Catarina,MARITIMA,"169.490,00"
2020,8,Polônia,Borracha e suas obras,Santa Catarina,MARITIMA,"169.481,00"
2020,11,Malásia,Obras diversas de metais comuns,Santa Catarina,MARITIMA,"169.481,00"
2020,11,Espanha,Obras diversas de metais comuns,Paraná,MARITIMA,"169.447,00"
2020,4,Polônia,Plásticos e suas obras,Santa Catarina,MARITIMA,"169.412,00"
2020,1,Dinamarca,Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas,Santa Catarina,MARITIMA,"169.406,00"
2020,4,Paraguai,Filamentos sintéticos ou artificiais,Santa Catarina,RODOVIARIA,"169.393,00"
2020,6,Portugal,Cortiça e suas obras,Rio Grande do Sul,MARITIMA,"169.387,00"
2020,9,Dinamarca,Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas,Santa Catarina,MARITIMA,"169.361,00"
2020,5,Dinamarca,Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas,Santa Catarina,MARITIMA,"169.297,00"
2020,8,Dinamarca,Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas,Santa Catarina,MARITIMA,"169.297,00"
2020,3,Dinamarca,Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas,Santa Catarina,MARITIMA,"169.297,00"
2020,5,Singapura,Plásticos e suas obras,Paraná,MARITIMA,"169.152,00"
2020,5,Polônia,Preparações alimentícias diversas,Paraná,MARITIMA,"169.134,00"
2020,6,Malásia,Produtos químicos orgânicos,Santa Catarina,MARITIMA,"169.017,00"
2020,2,Índia,Produtos químicos orgânicos,Rio Grande do Sul,MARITIMA,"168.972,00"
2020,8,Bélgica,Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo,Santa Catarina,MARITIMA,"168.854,00"
2020,2,Estados Unidos,Óleos essenciais e resinóides; produtos de perfumaria ou de toucador preparados e preparações cosméticas,Santa Catarina,AEREA,"168.851,00"
2020,1,China,Instrumentos musicais; suas partes e acessórios,Paraná,MARITIMA,"168.836,00"
2020,5,Rússia,Pastas de madeira ou de outras matérias fibrosas celulósicas; papel ou cartão para reciclar (desperdícios e aparas).,Santa Catarina,MARITIMA,"168.763,00"
2020,8,Reino Unido,Produtos químicos orgânicos,Santa Catarina,MARITIMA,"168.745,00"
2020,8,Hungria,Resíduos e desperdícios das indústrias alimentares; alimentos preparados para animais,Santa Catarina,MARITIMA,"168.733,00"
2020,10,Argentina,Resíduos e desperdícios das indústrias alimentares; alimentos preparados para animais,Santa Catarina,RODOVIARIA,"168.720,00"
2020,10,Estados Unidos,Frutas; cascas de frutos cítricos e de melões,Paraná,MARITIMA,"168.530,00"
